"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-01",,"51","70","35"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-02",,"54","71","36"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-03",,"53","71","35"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-04",,"58","71","35"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-05",,"56","71","35"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-06",,"56","70","34"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-07",,"48","70","34"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-08",,"51","67","35"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-09",,,"67","35"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-10",,"49","70","37"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-11",,"51","71","38"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-12",,"54","76","36"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-13",,,"66","46"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-14",,"49","70","37"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-15",,"49","72","33"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-16",,"47","72","27"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-17",,"52","71","30"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-18",,"47","70","33"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-19",,"55","71","34"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-20",,"49","68","36"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-21",,"51","67","42"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-22",,"52","66","44"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-23",,"51","65","45"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-24","0.03","52","65","41"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-25",,,"68","37"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-26",,"49","70","37"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-27",,"50","70","34"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-28",,"48","69","34"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-29",,,"68","33"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-30",,"49","68","35"
"NP000444540","KATHMANDU AIRPORT, NP","2000-01-31",,"48","65","45"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-01",,"48","59","38"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-02",,,"72","42"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-03",,,"72","40"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-04",,"51","73","34"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-05",,"53","69","38"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-06",,"49","57","43"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-07",,"51","69","40"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-08",,"54","71","40"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-09",,"50","70","34"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-10",,"50","72","33"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-11",,"47","68","33"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-12",,"52","70","43"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-13",,"53","73","38"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-14",,"57","73","42"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-15",,,"74","35"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-16",,,"72","40"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-17",,,"73","38"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-18",,"50","70","35"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-19",,"44","71","33"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-20",,,"70","39"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-21",,,"72","32"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-22",,"52","72","34"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-23",,,"74","34"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-24",,,"75","35"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-25",,,"72","36"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-26",,,"69","40"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-27",,,"68","35"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-28",,"49","62","38"
"NP000444540","KATHMANDU AIRPORT, NP","2000-02-29",,,"67","42"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-01",,"54","65","47"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-02",,,"73","40"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-03",,,"73","45"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-04",,,"73","40"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-05",,"59","78","41"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-06",,,"80","42"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-07",,"60","80","42"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-08",,,"77","45"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-09",,,"75","40"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-10",,,"74","40"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-11",,"56","77","42"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-12",,"59","76","43"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-13",,,"74","47"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-14","1.18","65","74","47"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-15","0.00","62","76","44"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-16",,"56","75","44"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-17",,"59","77","44"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-18",,"61","79","43"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-19",,"63","80","44"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-20",,"60","81","45"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-21",,,"81","44"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-22",,,"83","44"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-23",,,"71","51"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-24",,,"76","41"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-25",,,"80","42"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-26",,,"82","45"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-27",,,"81","50"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-28",,,"83","42"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-29",,,"84","46"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-30",,,"84","49"
"NP000444540","KATHMANDU AIRPORT, NP","2000-03-31",,,"87","51"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-01",,,"89","55"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-02",,,"90","53"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-03",,,"88","52"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-04",,,"89","51"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-05",,,"89","49"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-06",,,"86","49"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-07",,"67","87","50"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-08",,,"88","49"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-09",,,"87","51"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-10",,"69","83","48"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-11",,"73","85","50"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-12",,"72","85","52"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-13",,"73","83","54"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-14",,"68","79","56"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-15",,"70","81","55"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-16",,"74","83","56"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-17",,"71","83","54"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-18",,"70","85","52"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-19",,"72","81","56"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-20",,"72","82","55"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-21",,"71","81","57"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-22",,"73","84","54"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-23",,"76","87","56"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-24",,"68","78","56"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-25",,"67","78","56"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-26",,"72","79","56"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-27",,"70","80","59"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-28",,"72","83","59"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-29",,"76","86","56"
"NP000444540","KATHMANDU AIRPORT, NP","2000-04-30",,"76","84","55"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-01",,"71","85","59"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-02",,"77","85","55"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-03",,"73","83","59"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-04",,"74","82","64"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-05",,"76","85","63"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-06",,"70","85","63"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-07",,"66","78","59"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-08",,"75","82","56"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-09",,"75","83","60"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-10",,"76","83","61"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-11",,"80","89","62"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-12",,"76","89","67"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-13",,,"87","66"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-14",,"76","90","59"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-15",,"73","89","62"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-16",,"69","81","64"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-17",,,"88","63"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-18",,"75","88","68"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-19",,,"86","63"
"NP000444540","KATHMANDU AIRPORT, NP","2000-05-20",,,"78","64"
